2018-12-14 08:54:09.747383 HST-1000 | 192.168.1.25 | $RXHRB,141218,035052,21.3100057648,S,-157.888965848,W,GATR,2,1*56
2018-12-14 08:54:10.755957 HST-1000 | 192.168.1.25 | $RXHRB,141218,035053,21.3100057648,S,-157.888965848,W,GATR,2,1*57
2018-12-14 08:54:11.765255 HST-1000 | 192.168.1.25 | $RXHRB,141218,035054,21.3100057648,S,-157.888965848,W,GATR,2,1*50
2018-12-14 08:54:12.771083 HST-1000 | 192.168.1.25 | $RXHRB,141218,035055,21.3100057648,S,-157.888965848,W,GATR,2,1*51
2018-12-14 08:54:13.773714 HST-1000 | 192.168.1.25 | $RXHRB,141218,035056,21.3100057648,S,-157.888965848,W,GATR,2,1*52
2018-12-14 08:54:14.772971 HST-1000 | 192.168.1.25 | $RXHRB,141218,035057,21.3100057648,S,-157.888965848,W,GATR,2,1*53
2018-12-14 08:54:15.775521 HST-1000 | 192.168.1.25 | $RXHRB,141218,035058,21.3100057648,S,-157.888965848,W,GATR,2,1*5C
2018-12-14 08:54:16.783020 HST-1000 | 192.168.1.25 | $RXHRB,141218,035059,21.3100057648,S,-157.888965848,W,GATR,2,1*5D
2018-12-14 08:54:17.782421 HST-1000 | 192.168.1.25 | $RXHRB,141218,035100,21.3100057648,S,-157.888965848,W,GATR,2,1*50
2018-12-14 08:54:18.765378 HST-1000 | 192.168.1.25 | $RXHRB,141218,035101,21.3100057648,S,-157.888965848,W,GATR,2,1*51
2018-12-14 08:54:19.805601 HST-1000 | 192.168.1.25 | $RXHRB,141218,035102,21.310005456,S,-157.888963616,W,GATR,2,1*6B
2018-12-14 08:54:20.758286 HST-1000 | 192.168.1.25 | $RXHRB,141218,035103,21.310005456,S,-157.888963616,W,GATR,2,1*6A
2018-12-14 08:54:21.757009 HST-1000 | 192.168.1.25 | $RXHRB,141218,035104,21.310005456,S,-157.888963616,W,GATR,2,1*6D
2018-12-14 08:54:22.748901 HST-1000 | 192.168.1.25 | $RXHRB,141218,035105,21.310005456,S,-157.888963616,W,GATR,2,1*6C
2018-12-14 08:54:23.747407 HST-1000 | 192.168.1.25 | $RXHRB,141218,035106,21.310005456,S,-157.888963616,W,GATR,2,1*6F
2018-12-14 08:54:24.766008 HST-1000 | 192.168.1.25 | $RXHRB,141218,035107,21.310005456,S,-157.888963616,W,GATR,2,1*6E
2018-12-14 08:54:25.753795 HST-1000 | 192.168.1.25 | $RXHRB,141218,035108,21.3100057648,S,-157.888965848,W,GATR,2,1*58
2018-12-14 08:54:26.770751 HST-1000 | 192.168.1.25 | $RXHRB,141218,035109,21.3100057648,S,-157.888965848,W,GATR,2,1*59
2018-12-14 08:54:27.764675 HST-1000 | 192.168.1.25 | $RXHRB,141218,035110,21.3100057648,S,-157.888965848,W,GATR,2,1*51
2018-12-14 08:54:28.778650 HST-1000 | 192.168.1.25 | $RXHRB,141218,035111,21.3100057648,S,-157.888965848,W,GATR,2,1*50
2018-12-14 08:54:29.763538 HST-1000 | 192.168.1.25 | $RXHRB,141218,035112,21.3100057648,S,-157.888965848,W,GATR,2,1*53
2018-12-14 08:54:30.770599 HST-1000 | 192.168.1.25 | $RXHRB,141218,035113,21.3100057648,S,-157.888965848,W,GATR,2,1*52
2018-12-14 08:54:31.788486 HST-1000 | 192.168.1.25 | $RXHRB,141218,035114,21.3100057648,S,-157.888965848,W,GATR,2,1*55
2018-12-14 08:54:32.799807 HST-1000 | 192.168.1.25 | $RXHRB,141218,035115,21.3100057648,S,-157.888965848,W,GATR,2,1*54
2018-12-14 08:54:33.828449 HST-1000 | 192.168.1.25 | $RXHRB,141218,035116,21.3100057648,S,-157.888965848,W,GATR,2,1*57
2018-12-14 08:54:34.747752 HST-1000 | 192.168.1.25 | $RXHRB,141218,035117,21.3100057648,S,-157.888965848,W,GATR,2,1*56
2018-12-14 08:54:35.748242 HST-1000 | 192.168.1.25 | $RXHRB,141218,035118,21.3100057648,S,-157.888965848,W,GATR,2,1*59
