2018-12-14 07:41:03.790407 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:04.794843 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:05.798820 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:06.802755 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:41:07.806785 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:41:08.810965 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:41:10.317124 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:11.321165 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:12.325306 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:13.329273 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:14.333216 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:15.337320 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:16.341392 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:17.847582 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:18.851661 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:19.855719 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:20.859853 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:21.863989 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:41:22.868000 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:23.872147 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:24.876200 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:26.382287 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:41:27.387031 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:41:28.390589 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:29.406987 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:30.398721 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:31.402887 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:32.909048 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:33.913149 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:34.919450 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:35.926133 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:36.925412 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:37.929467 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:38.933556 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:39.937624 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:41:41.460729 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:42.447849 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:43.467888 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:44.456155 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:45.460220 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:41:46.466348 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:47.473019 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:48.974438 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:49.978513 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:41:50.982598 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:41:52.009052 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:52.992477 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:53.994895 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:54.998918 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:56.507695 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:57.509199 HST-1000 | $RXPNS,B,0,G,8858*7F
2018-12-14 07:41:58.513342 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:41:59.529565 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:00.522952 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:01.525479 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:02.529342 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:04.035832 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:05.039938 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:42:06.044029 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:07.048131 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:42:08.053822 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:42:09.056302 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:10.060463 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:11.566536 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:12.570609 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:13.574745 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:14.590108 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:15.582861 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:16.587013 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:17.604492 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:19.096695 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:42:20.101563 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:42:21.108125 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:42:22.109534 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:23.116293 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:42:24.117423 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:42:25.122501 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:42:26.628015 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:27.632080 HST-1000 | $RXPNS,B,0,G,8858*7F
2018-12-14 07:42:28.636187 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:42:29.640008 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:30.644331 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:31.648478 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:32.653795 HST-1000 | $RXPNS,B,0,G,8875*70
